std_acc,std_jerk,std_power,consumption,kms,consumption_per_km,std_current,highway,slope,nominal_speed,max_current,max_jerk,max_acc,max_power,min_power,max_speed,mean_speed,std_speed,iqr_power,mean_soc,mean_temp,travel_time,idle_time,traffic_factor,user_id,vehicle_id,speed_ind,end_time,total_mass,traffic_lights,slope_cat
0.16723679,0.150177883,5.437041805,0.203351111,0.503257099,0.40407003,14.56634959,primary,0.676268421,60,52.25,0.6,0.75,19.515,0.282,47,7.368421053,15.56720753,0.0715,81,35.94736842,272,0.775735294,0.47332966,Santiago_Echavarria_FSV110,FSV110,1.276595745,8/11/2020 12:01,1624,0,"(0.0, 2.5]"
0.399469648,0.500118736,16.21372334,0.157544375,0.5272201,0.298820881,43.83303549,primary,3.149128,60,97.5,0.6,0.68,35.977,-11.688,56,49.4,6.590902821,17.211,80.6,34.2,38,0,7.495179544,Santiago_Echavarria_FSV110,FSV110,1.071428571,8/11/2020 12:02,1624,0,"(2.5, 5.0]"
0.452572892,0.355,19.99007945,0.053560069,0.515202,0.103959359,53.86557342,primary,3.076686667,60,78,-0.16,0.41,28.743,-15.208,67,60,6.164414003,21.9755,80,33,13,0,9.733285268,Santiago_Echavarria_FSV110,FSV110,0.895522388,8/11/2020 12:02,1624,0,"(2.5, 5.0]"
0.120166551,0.159275704,2.984424863,0.166882986,0.566462,0.294605792,8.093824807,primary,4.794656,60,73,0.15,0.19,26.901,18.265,58,53.4,3.006659276,3.566,79.8,32.4,29,0,17.76057581,Santiago_Echavarria_FSV110,FSV110,1.034482759,8/11/2020 12:03,1624,0,"(2.5, 5.0]"
0.2900431,0.403347107,3.376261125,0.015935139,0.5175234,0.030791147,9.228649346,primary,2.5625375,60,75,0.69,0.44,27.563,18.4,65,53.25,7.660776723,4.24825,79,31,23,0,6.950992298,Santiago_Echavarria_FSV110,FSV110,0.923076923,8/11/2020 12:03,1624,0,"(2.5, 5.0]"
0.269849495,0.452572892,7.718876161,0.106669792,0.5820491,0.183265968,20.97952871,primary,1.91394,60,74.5,0.36,0.12,27.416,7.923,68,54.25,8.554969316,11.48975,79,30.25,33,0,6.341343609,Santiago_Echavarria_FSV110,FSV110,0.882352941,8/11/2020 12:04,1624,0,"(0.0, 2.5]"
0.087702147,0.165408585,3.037188649,0.242202708,0.7259521,0.333634558,8.338748241,primary,3.595366667,60,61,0.19,0.16,22.357,13.1,64,53.16666667,5.27309734,3.38625,78.16666667,30,43,0,10.08262568,Santiago_Echavarria_FSV110,FSV110,0.9375,8/11/2020 12:04,1624,0,"(2.5, 5.0]"
0.282610598,0.207578633,11.54453959,0.06654375,0.594073,0.112012749,31.00321304,primary,2.0020875,60,85.75,0.08,0.4,31.985,0.926,65,59.5,5.894913061,15.219,78,29.75,20,0,10.09344826,Santiago_Echavarria_FSV110,FSV110,0.923076923,8/11/2020 12:05,1624,1,"(0.0, 2.5]"
0.311006431,0.58908064,15.25160255,0.130702778,0.5285904,0.247266651,41.64051262,primary,4.350891667,52.5,113,0.82,0.43,41.188,-6.909,55,47.5,4.787135539,12.303,77.5,29.16666667,35,0,9.922426389,Santiago_Echavarria_FSV110,FSV110,0.954545455,8/11/2020 12:06,1624,1,"(2.5, 5.0]"
0.374462578,0.400469724,4.75410113,0.182413125,0.5597301,0.325894793,13.11858309,primary,4.145938333,45,82.75,0.58,0.67,30.204,14.752,59,50.5,6.130524719,4.474,77,28.5,35,0,8.237467805,Santiago_Echavarria_FSV110,FSV110,0.762711864,8/11/2020 12:06,1624,0,"(2.5, 5.0]"
